Searching for Endgame Reversals...
Found 2071 SGF files.
[DEBUG] 89723932.sgf Winner:B LastWR(B):1.00 FinalWR:1.00
FOUND: 89724462.sgf | Winner: B | Low: 0.16 @ 125 | Reversal @ 133 (Total 251)
FOUND: 89724033.sgf | Winner: W | Low: 0.02 @ 130 | Reversal @ 192 (Total 317)
Processed 1500...
FOUND: 89724440.sgf | Winner: B | Low: 0.14 @ 115 | Reversal @ 147 (Total 349)
FOUND: 89722276.sgf | Winner: W | Low: 0.16 @ 137 | Reversal @ 180 (Total 355)
FOUND: 89724346.sgf | Winner: W | Low: 0.06 @ 125 | Reversal @ 158 (Total 230)
FOUND: 89723818.sgf | Winner: B | Low: 0.15 @ 165 | Reversal @ 181 (Total 347)
FOUND: 89722691.sgf | Winner: B | Low: 0.20 @ 158 | Reversal @ 163 (Total 290)
FOUND: 89725107.sgf | Winner: W | Low: 0.19 @ 195 | Reversal @ 232 (Total 330)
FOUND: 89724988.sgf | Winner: B | Low: 0.14 @ 102 | Reversal @ 173 (Total 307)
FOUND: 89724451.sgf | Winner: W | Low: 0.13 @ 146 | Reversal @ 172 (Total 306)
FOUND: 89724067.sgf | Winner: W | Low: 0.16 @ 110 | Reversal @ 162 (Total 310)
FOUND: 89722095.sgf | Winner: W | Low: 0.12 @ 151 | Reversal @ 221 (Total 303)
FOUND: 89724449.sgf | Winner: B | Low: 0.04 @ 284 | Reversal @ 286 (Total 332)
FOUND: 89721997.sgf | Winner: B | Low: 0.02 @ 107 | Reversal @ 162 (Total 293)
FOUND: 89724307.sgf | Winner: W | Low: 0.19 @ 109 | Reversal @ 270 (Total 361)
FOUND: 89723297.sgf | Winner: B | Low: 0.20 @ 127 | Reversal @ 185 (Total 354)
FOUND: 89725256.sgf | Winner: B | Low: 0.08 @ 140 | Reversal @ 178 (Total 342)
FOUND: 89722427.sgf | Winner: W | Low: 0.04 @ 228 | Reversal @ 255 (Total 386)
FOUND: 89724854.sgf | Winner: W | Low: 0.20 @ 144 | Reversal @ 163 (Total 275)
FOUND: 89721891.sgf | Winner: B | Low: 0.17 @ 100 | Reversal @ 120 (Total 213)
FOUND: 89724858.sgf | Winner: W | Low: 0.13 @ 100 | Reversal @ 170 (Total 299)
FOUND: 89723255.sgf | Winner: B | Low: 0.11 @ 119 | Reversal @ 225 (Total 299)
FOUND: 89723308.sgf | Winner: B | Low: 0.14 @ 100 | Reversal @ 131 (Total 316)
FOUND: 89723549.sgf | Winner: W | Low: 0.03 @ 278 | Reversal @ 336 (Total 405)
FOUND: 89722342.sgf | Winner: B | Low: 0.17 @ 216 | Reversal @ 239 (Total 350)
FOUND: 89723795.sgf | Winner: W | Low: 0.16 @ 139 | Reversal @ 150 (Total 305)
FOUND: 89723323.sgf | Winner: B | Low: 0.19 @ 162 | Reversal @ 181 (Total 262)
FOUND: 89722809.sgf | Winner: B | Low: 0.11 @ 206 | Reversal @ 231 (Total 303)
FOUND: 89723952.sgf | Winner: W | Low: 0.18 @ 105 | Reversal @ 139 (Total 262)
Processed 2000...
[DEBUG] 1875688.sgf Winner:W LastWR(B):0.04 FinalWR:0.96
FOUND: 89723645.sgf | Winner: W | Low: 0.20 @ 186 | Reversal @ 207 (Total 310)

Total Reversals Found: 92
Zombie Games (Mismatch/Lost): 0
Smooth Wins (No Reversal): 1707
Total Processed: 2071
