Searching for Endgrame Reversals (Massive & Late-Game)...
[Endgame] 89722810.sgf (W:W) Low:0.35@239 -> Rev@267 (Len:436)
[Endgame] 89722837.sgf (W:B) Low:0.16@261 -> Rev@272 (Len:314)
[Endgame] 89723883.sgf (W:B) Low:0.21@245 -> Rev@286 (Len:392)
[Massive] 89724033.sgf (W:W) Low:0.02@130 -> Rev@192 (Len:317)
[Endgame] 89721793.sgf (W:B) Low:0.25@228 -> Rev@250 (Len:378)
Processed 1500...
[Endgame] 89722889.sgf (W:B) Low:0.25@201 -> Rev@210 (Len:333)
[Endgame] 89722157.sgf (W:B) Low:0.25@153 -> Rev@234 (Len:351)
[Massive] 89724346.sgf (W:W) Low:0.06@125 -> Rev@158 (Len:230)
[Endgame] 89722726.sgf (W:B) Low:0.44@222 -> Rev@226 (Len:326)
[Endgame] 89725107.sgf (W:W) Low:0.19@195 -> Rev@232 (Len:330)
[Endgame] 89723813.sgf (W:W) Low:0.25@180 -> Rev@221 (Len:346)
[Endgame] 89725208.sgf (W:W) Low:0.35@207 -> Rev@209 (Len:320)
[Endgame] 89722095.sgf (W:W) Low:0.12@151 -> Rev@221 (Len:303)
[Endgame] 1875742.sgf (W:B) Low:0.33@200 -> Rev@201 (Len:217)
[Endgame] 89723237.sgf (W:B) Low:0.30@270 -> Rev@285 (Len:369)
[Endgame] 89722818.sgf (W:B) Low:0.24@164 -> Rev@218 (Len:313)
[Endgame] 89722307.sgf (W:W) Low:0.35@150 -> Rev@217 (Len:320)
[Massive] 89724449.sgf (W:B) Low:0.04@284 -> Rev@286 (Len:332)
[Massive] 89721997.sgf (W:B) Low:0.02@107 -> Rev@162 (Len:293)
[Endgame] 89723279.sgf (W:W) Low:0.25@239 -> Rev@277 (Len:352)
[Endgame] 89724307.sgf (W:W) Low:0.35@150 -> Rev@270 (Len:361)
[Massive] 89725256.sgf (W:B) Low:0.08@140 -> Rev@178 (Len:342)
[Massive] 89722427.sgf (W:W) Low:0.04@228 -> Rev@255 (Len:386)
[Endgame] 89722646.sgf (W:W) Low:0.22@234 -> Rev@255 (Len:304)
[Endgame] 89725113.sgf (W:B) Low:0.33@222 -> Rev@233 (Len:280)
[Endgame] 89723031.sgf (W:W) Low:0.41@305 -> Rev@306 (Len:353)
[Endgame] 89725020.sgf (W:W) Low:0.31@254 -> Rev@258 (Len:343)
[Endgame] 89723255.sgf (W:B) Low:0.11@183 -> Rev@225 (Len:299)
[Massive] 89723549.sgf (W:W) Low:0.03@278 -> Rev@336 (Len:405)
[Endgame] 89722436.sgf (W:B) Low:0.44@197 -> Rev@203 (Len:293)
